Stock Code,PORTFOLIO_WEIGHTS
A2ZINFRA,0.07
ADANIPOWER,0.06116579558806126
AEGISLOG,0.028002232129192766
BAJAJCON,0.07
DBREALTY,0.07
EDELWEISS,0.01447637183152117
FEL,0.03162453886783777
FORTIS,0.059369528394363005
GODREJCP,0.07
GREENPOWER,0.02903517497480962
INDUSINDBK,0.04108511088767636
JPPOWER,0.042501083037950756
JYOTHYLAB,0.04767921541658743
LICHSGFIN,0.05059806745855889
MANAPPURAM,0.007313210731301385
MOTHERSON,0.02613541602787137
PFS,0.07
POONAWALLA,0.0026780651391753955
SYMPHONY,0.006896805139753657
THOMASCOOK,0.02050413417305073
TRITURBINE,0.07
VAKRANGEE,0.05715389984740462
VEDL,0.05378135035488356
