,Sr.No._x,Accord Code_x,Company Name,GB+CWIP_1Y_CAGR,GB+CWIP_2Y_CAGR,GB+CWIP_3y_CAGR,CD_BSE Code,CD_NSE Symbol,FH_Market Capitalization,CONS_FH_1,GB+CWIP_CAPEX_SUM,ZSCORE_CAPEX,ZSCORE_MCAP,Stock Name,NSE Code,BSE Code,Stock Code,ISIN,Industry Name,Current Price,Current Price.1,Market Capitalization,PE TTM Price to Earnings,Forecaster Estimates 1Y forward PE,PE 3Yr Average,PE 5Yr Average,%Days traded below current PE Price to Earnings,Sector PE TTM,Industry PE TTM,PEG TTM PE to Growth,Forecaster Estimates 1Y forward PEG,Sector PEG TTM,Industry PEG TTM,Price to Book Value,%Days traded below current Price to Book Value,Sector Price to Book TTM,Industry Price to Book TTM,Basic EPS TTM,EPS TTM Growth %,ROE Annual %,Sector Return on Equity ROE,Industry Return on Equity ROE,RoA Annual %,Sector Return on Assets,Industry Return on Assets,Piotroski Score,sector_name,Industry Name.1,Latest financial result,Result Announced Date,STOCK NAME,MA,Sr.No._y,Accord Code_y,FR_Adjusted PE (x),FR_Price / Book Value(x),FR_Dividend Yield(%),FR_EV/Net Sales(x),FR_EV/EBITDA(x),FR_EV/EBIT(x),FR_M Cap / Sales,ZSCORE_PE,ZSCORE_EVEBITDA,ZSCORE_FINAL
0,1,304714,Aether Industries Ltd.,57.6591544029414,81.1293473013914,68.5026087698255,543534.0,AETHER,10347.51575,C,207.2911104741583,-0.08154543649364863,1.3843198981857139,Aether Industries Ltd.,AETHER,543534.0,AETHER,INE0BWX01014,Specialty Chemicals,848.0,848.0,11243.65,105.38,Export NA,117.53,,39.36,51.17,59.04,-8.66,Export NA,13.03,14.6,5.28,0.14,7.59,9.19,8.05,-12.17,3.99,14.53,14.4,3.43,9.9,9.72,2.0,Chemicals & Petrochemicals,Specialty Chemicals,2024-12-31,2025-01-17,AETHER,65652.5,19,304714,117.454561868079,5.0125832724574,0.0,16.655362449007,56.4622777613367,80.9660971648685,17.3712219013884,0.8351316149046826,0.6253840177712748,0.37398828100854936
6,15,281585,BLS International Services Ltd.,29.8871417548747,52.2874032059934,64.2219072975311,540073.0,BLS,12934.843515,C,146.39645225839922,-0.08287231681576326,1.9463547408999171,BLS International Services Ltd.,BLS,540073.0,BLS,INE153T01027,Travel Support Services,386.5,386.5,15913.79,35.06,Export NA,52.7,48.43,64.34,64.96,46.47,0.69,Export NA,5.87,0.65,11.14,83.07,11.22,13.79,11.02,50.57,25.91,17.25,30.16,19.36,9.68,15.31,8.0,Diversified Consumer Services,Travel Support Services,2024-12-31,2025-02-11,BLS,3222142.45,138,281585,349.482701079097,149.217834313711,0.318319274232055,108.854588122944,266.375181041719,306.28707865435,109.023968832338,4.188815370138634,5.407644717006648,1.2991935668050538
7,16,307329,Blue Jet Healthcare Ltd.,61.910216528495,39.2337304867557,33.2574665979633,544009.0,BLUEJET,6634.168925,S,134.401413613214,-0.08313368589488525,0.5776844471367968,Blue Jet Healthcare Ltd,BLUEJET,544009.0,BLUEJET,INE0KBH01020,Pharmaceuticals,745.15,745.15,12925.77,55.1,Export NA,,,56.7,40.48,40.18,,Export NA,5.74,5.72,13.99,86.26,8.22,8.34,13.52,,19.37,16.9,17.11,15.46,11.67,11.81,5.0,Pharmaceuticals & Biotechnology,Pharmaceuticals,2024-12-31,2025-01-29,BLUEJET,557444.05,140,307329,40.5137711864407,7.84901608806197,0.261472087854622,9.20388045638127,25.3767612141548,29.7356844989467,9.32291676620789,-0.2769536722560964,-0.08280991302512725,0.02968031936230585
8,19,131595,Capri Global Capital Ltd.,36.3819783898463,157.810474215414,99.1730498566572,531595.0,CGCL,16853.5242,C,293.36550246191746,-0.0796698956775417,2.797594043563668,Capri Global Capital Ltd.,CGCL,531595.0,CGCL,INE180C01042,Finance (including NBFCs),166.2,166.2,13713.43,35.77,Export NA,68.86,65.74,64.96,21.62,37.14,0.77,Export NA,4.95,25.92,3.42,61.88,4.05,4.62,4.65,46.49,7.28,17.25,15.84,1.84,2.86,4.26,5.0,Banking and Finance,Finance (including NBFCs),2024-12-31,2025-01-23,CGCL,286719.55,157,131595,85.0930900912158,4.77537053093283,0.0734214390602056,13.3476631656375,24.6745471632208,26.9133130291025,9.47764850506597,0.3673860105888829,-0.09880783695335285,0.5385746886697615
9,21,311653,Cello World Ltd.,66.1552028333504,39.4150604676479,27.3813753911799,544012.0,CELLO,16440.474415,C,132.95163869217822,-0.08316527615042789,2.7078688938992186,Cello World Ltd.,CELLO,544012.0,CELLO,INE0LMW01024,Houseware,581.35,581.35,12841.15,37.83,Export NA,,,14.67,53.59,40.52,,Export NA,8.42,0.9,6.44,,16.74,7.28,15.37,,28.8,20.72,24.77,16.79,10.69,15.21,4.0,Consumer Durables,Houseware,2024-12-31,2025-02-11,CELLO,195385.8,164,311653,264.837606837607,23.0593687483598,0.19363583553863,16.2905656380689,177.293284385335,185.260763902878,16.1787619087357,2.965373771704904,3.378170364855254,1.1260290267456028
10,22,132548,Century Plyboards (India) Ltd.,52.7576934531862,40.9275881477127,33.4443905752674,532548.0,CENTURYPLY,14211.295945,C,127.12967217616628,-0.08329213543550237,2.2236333873984258,Century Plyboards (India) Ltd.,CENTURYPLY,532548.0,CENTURYPLY,INE348B01021,Forest Products,731.7,731.7,16256.4,76.54,Export NA,44.72,46.99,92.51,58.46,59.57,-1.86,Export NA,1.15,1.16,7.2,38.76,5.59,5.86,9.56,-41.25,14.75,13.77,14.11,9.18,9.08,9.23,3.0,Forest Materials,Forest Products,2024-12-31,2025-02-07,CENTURYPLY,682032.3,166,132548,45.152614637452,6.51776421585765,0.156335495974361,3.8714184594971,27.2739355232569,32.1816221488891,3.78103537098099,-0.20990484801594042,-0.03958826253945224,0.3698020851628445
11,24,222554,Data Patterns (India) Ltd.,43.3281699491038,55.1999394248309,65.9851569682526,543428.0,DATAPATTNS,13563.48,S,164.5132663421873,-0.08247755568545173,2.0829109255282625,Data Patterns (India) Ltd.,DATAPATTNS,543428.0,DATAPATTNS,INE0IX101010,Aerospace & Defence,2175.0,2175.0,12176.52,68.09,Export NA,82.93,,49.09,52.89,44.54,8.78,Export NA,4.08,1.29,9.02,31.11,13.34,11.27,31.94,7.76,13.72,21.36,24.52,10.73,11.85,8.89,6.0,General Industrials,Aerospace & Defence,2024-12-31,2025-02-05,DATAPATTNS,722572.6,202,222554,74.6518681074817,10.2426956449506,0.268367705043248,25.3381877645248,49.2090042966561,52.3647821246819,26.0936514043863,0.21647088162775788,0.4601390800429014,0.4347566478614474
13,26,208045,Devyani International Ltd.,85.4667352266435,60.6515731230666,51.4345426753226,543330.0,DEVYANI,18142.1637,C,197.5528510250327,-0.08175763088332579,3.077520038443489,Devyani International Ltd.,DEVYANI,543330.0,DEVYANI,INE872J01023,Restaurants,175.65,175.65,21188.07,955.87,Export NA,263.89,,93.97,59.17,123.61,-11.83,Export NA,1.57,1.74,18.18,25.11,11.09,17.65,0.18,-80.8,4.48,12.4,12.54,0.95,5.99,3.4,3.0,Hotels Restaurants & Tourism,Restaurants,2024-12-31,2025-02-11,DEVYANI,2316986.45,214,208045,0.0,17.0501686017334,0.0,5.93159752418152,29.1699867912529,102.277340836404,5.82184571574169,-0.8625308214468856,0.0036078026903314606,0.4805571272830469
16,30,311742,DOMS Industries Ltd.,57.5556971992733,51.0304019752501,37.6227262615129,544045.0,DOMS,9456.886376,C,146.2088254360363,-0.08287640516022218,1.1908520481111644,DOMS Industries Ltd.,DOMS,544045.0,DOMS,INE321T01012,Commodity Printing/Stationery,2907.5,2907.5,17644.8,88.64,Export NA,,,73.64,56.77,80.47,2.2,Export NA,9.47,2.66,19.58,85.45,7.9,16.44,32.8,40.24,18.8,11.62,17.98,12.86,5.38,12.25,6.0,Commercial Services & Supplies,Commodity Printing/Stationery,2024-12-31,2025-02-03,DOMS,129070.25,233,311742,65.1754756517338,11.9959230572225,0.160431239170891,6.66197941098757,36.3383811019958,44.380894183201,6.81421271191271,0.07950118672295055,0.16691901345043728,0.21308658654343837
17,33,296479,Easy Trip Planners Ltd.,255.130129493474,114.309747294297,135.029485455808,543272.0,EASEMYTRIP,7600.27956,C,504.469362243579,-0.07506999207886705,0.787548789077542,Easy Trip Planners Ltd.,EASEMYTRIP,543272.0,EASEMYTRIP,INE07O001026,Travel Support Services,12.15,12.15,4306.06,56.48,Export NA,59.02,,45.36,64.96,46.47,-1.15,Export NA,5.87,0.65,7.12,22.13,11.22,13.79,0.22,-49.18,17.05,17.25,30.16,11.53,9.68,15.31,4.0,Diversified Consumer Services,Travel Support Services,2024-12-31,2025-02-14,EASEMYTRIP,31453755.35,244,296479,63.7674695212608,11.9143632712503,0.233154581487526,15.6287265666372,31.4474341016598,45.5086115125751,15.7837693993043,0.059150175405557254,0.05549287786644182,0.12393206789538809
