,Sr.No._x,Accord Code_x,Company Name,GB+CWIP_1Y_CAGR,GB+CWIP_2Y_CAGR,GB+CWIP_3y_CAGR,FH_Market Capitalization,CONS_FH_1,GB+CWIP_CAPEX_SUM,ZSCORE_CAPEX,ZSCORE_MCAP,Stock Name,NSE Code,BSE Code,Stock Code,ISIN,Industry Name,Current Price,Current Price.1,Market Capitalization,PE TTM Price to Earnings,Forecaster Estimates 1Y forward PE,PE 3Yr Average,PE 5Yr Average,%Days traded below current PE Price to Earnings,Sector PE TTM,Industry PE TTM,PEG TTM PE to Growth,Forecaster Estimates 1Y forward PEG,Sector PEG TTM,Industry PEG TTM,Price to Book Value,%Days traded below current Price to Book Value,Sector Price to Book TTM,Industry Price to Book TTM,Basic EPS TTM,EPS TTM Growth %,ROE Annual %,Sector Return on Equity ROE,Industry Return on Equity ROE,RoA Annual %,Sector Return on Assets,Industry Return on Assets,Piotroski Score,sector_name,Industry Name.1,Latest financial result,Result Announced Date,Sr.No._y,Accord Code_y,FR_Adjusted PE (x),FR_Price / Book Value(x),FR_Dividend Yield(%),FR_EV/Net Sales(x),FR_EV/EBITDA(x),FR_EV/EBIT(x),FR_M Cap / Sales,ZSCORE_PE,ZSCORE_EVEBITDA,ZSCORE_FINAL
0,1,304714,Aether Industries Ltd.,57.6591544029414,81.1293473013914,68.5026087698255,10347.51575,C,207.2911104741583,-0.08350018102742161,1.3794005999319363,Aether Industries Ltd.,AETHER,543534.0,AETHER,INE0BWX01014,Specialty Chemicals,848.0,848.0,11243.65,105.38,Export NA,117.53,,39.36,51.17,59.04,-8.66,Export NA,13.03,14.6,5.28,0.14,7.59,9.19,8.05,-12.17,3.99,14.53,14.4,3.43,9.9,9.72,2.0,Chemicals & Petrochemicals,Specialty Chemicals,2024-12-31,2025-01-17,19,304714,117.454561868079,5.0125832724574,0.0,16.655362449007,56.4622777613367,80.9660971648685,17.3712219013884,0.2654903086268394,0.12575047517213023,0.26490408974983126
8,9,243036,Authum Investment & Infrastructure Ltd.,-58.9438174170172,1024.20912371594,1616.2616552067,12315.594,C,2581.5269615056227,-0.03063125025608245,1.8153233378649094,Authum Investment & Infrastructure Ltd.,,539177.0,AIIL,INE206F01022,Finance (including NBFCs),1875.0,1875.0,31845.96,7.93,Export NA,5.65,8.82,98.65,21.62,37.14,-0.56,Export NA,4.95,25.92,2.48,31.28,4.05,4.62,236.45,-14.07,41.41,17.25,15.84,36.87,2.86,4.26,6.0,Banking and Finance,Finance (including NBFCs),2024-12-31,2025-01-15,85,243036,4.21236156500296,1.19768526757712,0.0,5.36342884150563,4.32633293313847,4.32911263632378,5.10594649275915,-0.5556664681470179,-0.05042859860332566,0.284076410744298
16,18,311535,BLS E-Services Ltd.,9.58791928721174,150.851236752758,125.996761171536,2816.5515,C,286.43591721150574,-0.08173780291048349,-0.28868274743260264,BLS E-Services Ltd.,BLSE,544107.0,BLSE,INE0NLT01010,Misc. Commercial Services,154.5,154.5,1403.73,28.26,Export NA,,,9.4,56.77,42.37,3.5,Export NA,9.47,2.6,3.07,3.02,7.9,11.34,5.47,8.08,7.28,11.62,17.21,6.16,5.38,11.83,5.0,Commercial Services & Supplies,Misc. Commercial Services,2024-12-31,2025-02-10,137,311535,388.325191030941,7.17823173808662,0.0,66.6660532326293,188.021713936309,190.896418800396,71.0041873175454,2.2296631361662977,0.5703193745774359,0.17321901984156274
17,19,281585,BLS International Services Ltd.,29.8871417548747,52.2874032059934,64.2219072975311,12934.843515,C,146.39645225839922,-0.08485616908907719,1.9524850305173573,BLS International Services Ltd.,BLS,540073.0,BLS,INE153T01027,Travel Support Services,386.5,386.5,15913.79,35.06,Export NA,52.7,48.43,64.34,64.96,46.47,0.69,Export NA,5.87,0.65,11.14,83.07,11.22,13.79,11.02,50.57,25.91,17.25,30.16,19.36,9.68,15.31,8.0,Diversified Consumer Services,Travel Support Services,2024-12-31,2025-02-11,138,281585,349.482701079097,149.217834313711,0.318319274232055,108.854588122944,266.375181041719,306.28707865435,109.023968832338,1.9480033506326118,0.8350933478355291,0.6178929744968393
21,24,131595,Capri Global Capital Ltd.,36.3819783898463,157.810474215414,99.1730498566572,16853.5242,C,293.36550246191746,-0.08158349652061116,2.8204596719170376,Capri Global Capital Ltd.,CGCL,531595.0,CGCL,INE180C01042,Finance (including NBFCs),166.2,166.2,13713.43,35.77,Export NA,68.86,65.74,64.96,21.62,37.14,0.77,Export NA,4.95,25.92,3.42,61.88,4.05,4.62,4.65,46.49,7.28,17.25,15.84,1.84,2.86,4.26,5.0,Banking and Finance,Finance (including NBFCs),2024-12-31,2025-01-23,157,131595,85.0930900912158,4.77537053093283,0.0734214390602056,13.3476631656375,24.6745471632208,26.9133130291025,9.47764850506597,0.030826536774772123,0.018332590013352343,0.5200577491498533
22,25,311653,Cello World Ltd.,66.1552028333504,39.4150604676479,27.3813753911799,16440.474415,C,132.95163869217822,-0.08515555506514073,2.728970528545921,Cello World Ltd.,CELLO,544012.0,CELLO,INE0LMW01024,Houseware,581.35,581.35,12841.15,37.83,Export NA,,,14.67,53.59,40.52,,Export NA,8.42,0.9,6.44,,16.74,7.28,15.37,,28.8,20.72,24.77,16.79,10.69,15.21,4.0,Consumer Durables,Houseware,2024-12-31,2025-02-11,164,311653,264.837606837607,23.0593687483598,0.19363583553863,16.2905656380689,177.293284385335,185.260763902878,16.1787619087357,1.3342136806064515,0.5340656001884938,0.6815287007495944
23,26,132548,Century Plyboards (India) Ltd.,52.7576934531862,40.9275881477127,33.4443905752674,14211.295945,C,127.12967217616628,-0.0852851972590931,2.2352149667517507,Century Plyboards (India) Ltd.,CENTURYPLY,532548.0,CENTURYPLY,INE348B01021,Forest Products,731.7,731.7,16256.4,76.54,Export NA,44.72,46.99,92.51,58.46,59.57,-1.86,Export NA,1.15,1.16,7.2,38.76,5.59,5.86,9.56,-41.25,14.75,13.77,14.11,9.18,9.08,9.23,3.0,Forest Materials,Forest Products,2024-12-31,2025-02-07,166,132548,45.152614637452,6.51776421585765,0.156335495974361,3.8714184594971,27.2739355232569,32.1816221488891,3.78103537098099,-0.25879510602844674,0.02711650742700915,0.37270401513475054
26,29,222554,Data Patterns (India) Ltd.,43.3281699491038,55.1999394248309,65.9851569682526,13563.48,S,164.5132663421873,-0.08445274809399075,2.0917259055718733,Data Patterns (India) Ltd.,DATAPATTNS,543428.0,DATAPATTNS,INE0IX101010,Aerospace & Defence,2175.0,2175.0,12176.52,68.09,Export NA,82.93,,49.09,52.89,44.54,8.78,Export NA,4.08,1.29,9.02,31.11,13.34,11.27,31.94,7.76,13.72,21.36,24.52,10.73,11.85,8.89,6.0,General Industrials,Aerospace & Defence,2024-12-31,2025-02-05,202,222554,74.6518681074817,10.2426956449506,0.268367705043248,25.3381877645248,49.2090042966561,52.3647821246819,26.0936514043863,-0.0448862290209887,0.10124003414994376,0.3733089127708757
28,31,208045,Devyani International Ltd.,85.4667352266435,60.6515731230666,51.4345426753226,18142.1637,C,197.5528510250327,-0.0837170303199742,3.1058890033212023,Devyani International Ltd.,DEVYANI,543330.0,DEVYANI,INE872J01023,Restaurants,175.65,175.65,21188.07,955.87,Export NA,263.89,,93.97,59.17,123.61,-11.83,Export NA,1.57,1.74,18.18,25.11,11.09,17.65,0.18,-80.8,4.48,12.4,12.54,0.95,5.99,3.4,3.0,Hotels Restaurants & Tourism,Restaurants,2024-12-31,2025-02-11,214,208045,0.0,17.0501686017334,0.0,5.93159752418152,29.1699867912529,102.277340836404,5.82184571574169,-0.5862116998368508,0.03352369074989856,0.5156787815635608
33,36,311742,DOMS Industries Ltd.,57.5556971992733,51.0304019752501,37.6227262615129,9456.886376,C,146.2088254360363,-0.08486034711944349,1.1821291778237908,DOMS Industries Ltd.,DOMS,544045.0,DOMS,INE321T01012,Commodity Printing/Stationery,2907.5,2907.5,17644.8,88.64,Export NA,,,73.64,56.77,80.47,2.2,Export NA,9.47,2.66,19.58,85.45,7.9,16.44,32.8,40.24,18.8,11.62,17.98,12.86,5.38,12.25,6.0,Commercial Services & Supplies,Commodity Printing/Stationery,2024-12-31,2025-02-03,233,311742,65.1754756517338,11.9959230572225,0.160431239170891,6.66197941098757,36.3383811019958,44.380894183201,6.81421271191271,-0.11360269570549085,0.05774730603654181,0.17992408832619716
