,Sr.No._x,Accord Code_x,Company Name,GB+CWIP_1Y_CAGR,GB+CWIP_2Y_CAGR,GB+CWIP_3y_CAGR,FH_Market Capitalization,CONS_FH_1,GB+CWIP_CAPEX_SUM,ZSCORE_CAPEX,ZSCORE_MCAP,Stock Name,NSE Code,BSE Code,Stock Code,ISIN,Industry Name,Current Price,Current Price.1,Market Capitalization,PE TTM Price to Earnings,Forecaster Estimates 1Y forward PE,PE 3Yr Average,PE 5Yr Average,%Days traded below current PE Price to Earnings,Sector PE TTM,Industry PE TTM,PEG TTM PE to Growth,Forecaster Estimates 1Y forward PEG,Sector PEG TTM,Industry PEG TTM,Price to Book Value,%Days traded below current Price to Book Value,Sector Price to Book TTM,Industry Price to Book TTM,Basic EPS TTM,EPS TTM Growth %,ROE Annual %,Sector Return on Equity ROE,Industry Return on Equity ROE,RoA Annual %,Sector Return on Assets,Industry Return on Assets,Piotroski Score,sector_name,Industry Name.1,Latest financial result,Result Announced Date,Sr.No._y,Accord Code_y,FR_Adjusted PE (x),FR_Price / Book Value(x),FR_Dividend Yield(%),FR_EV/Net Sales(x),FR_EV/EBITDA(x),FR_EV/EBIT(x),FR_M Cap / Sales,ZSCORE_PE,ZSCORE_EVEBITDA,ZSCORE_FINAL
1,2,224849,Alembic Pharmaceuticals Ltd.,63.2013764145009,34.7334419019002,31.6260887940176,10363.73,C,129.5609071104187,-0.20094396123576785,1.2285905965778765,Alembic Pharmaceuticals Ltd.,APLLTD,533573.0,APLLTD,INE901L01018,Pharmaceuticals,883.8,883.8,17372.25,28.73,Export NA,37.69,28.29,63.78,40.48,40.18,11.67,Export NA,5.74,5.72,3.55,22.05,8.22,8.34,30.77,2.46,12.78,16.9,17.11,9.55,11.67,11.81,9.0,Pharmaceuticals & Biotechnology,Pharmaceuticals,2024-12-31,2025-05-06,24,224849.0,24.5592248969254,4.72231310061377,0.727537286285922,3.7245030998961,17.1614987484355,20.4108923786841,3.51878272206868,-0.2566733623488062,-0.41521786568842844,0.057962619770391126
7,10,275019,Bharat Road Network Ltd.,3741.50713006879,2139.46999401621,741.319864540721,1579.939,C,6622.2969886257215,8.05319717546248,-0.5934390054023534,Bharat Road Network Ltd.,BRNL,540700.0,BRNL,INE727S01012,Roads & Highways,27.0,27.0,226.66,1.92,Export NA,17.57,17.57,15.91,40.59,6.82,0.01,Export NA,3.35,3.73,1.36,79.66,4.65,1.81,14.07,182.21,-58.91,12.67,10.32,-4.09,5.35,3.73,4.0,Cement and Construction ,Roads & Highways,2024-12-31,2025-02-11,99,275019.0,54.6346561384155,1.35086094632489,0.53134962805526,51.1865837085747,32.8953485009437,32.9159728223964,47.3970798671631,-0.14247036393689683,0.03609364141923041,4.70259283194525
8,11,221577,Bharat Wire Ropes Ltd.,19.8694625483696,54.2015562400796,82.7503063427347,501.21703,S,156.8213251311839,-0.16628810352588938,-0.8171992658236715,Bharat Wire Ropes Ltd.,BHARATWIRE,539799.0,BHARATWIRE,INE316L01019,Iron & Steel Products,187.49,187.49,1283.35,17.44,Export NA,16.87,16.87,17.2,18.22,22.97,-0.93,Export NA,1.55,1.1,1.83,38.94,5.66,6.77,10.75,-18.68,34.63,23.96,18.02,11.78,10.88,9.85,6.0,Metals & Mining,Iron & Steel Products,2024-12-31,2025-02-03,101,221577.0,2012.63537906137,3.55820058567752,0.0,6.06614490820055,26.4365979163473,39.2433013593833,3.03956718567595,7.292487148559564,-0.14916988316107743,0.45111901125958076
14,18,207950,Central Depository Services (India) Ltd.,601.282170542636,239.197497425548,17.5170702216023,2953.6925,C,857.9967381897864,0.7251081812307922,-0.3084800915547962,Central Depository Services (India) Ltd.,CDSL,,CDSL,INE736A01011,Other Financial Services,1361.9,1361.9,28463.71,51.23,Export NA,60.19,56.4,74.39,21.62,43.72,0.89,Export NA,4.95,4.89,18.62,99.12,4.05,11.37,26.58,57.41,28.64,17.25,20.92,23.52,2.86,14.05,6.0,Banking and Finance,Other Financial Services,2024-12-31,2025-05-03,129,207950.0,38.0202308251056,5.88097588966985,1.23828055899522,19.3738564240806,25.8954863991152,27.4690096201028,19.5827037685049,-0.2055589751170805,-0.16469118647823922,0.3363438742679841
16,21,104973,Cholamandalam Financial Holdings Ltd.,99.6886172298466,-65.3587837832673,-51.3528311655905,12173.4375,C,-17.0229977190112,-0.38729440327438536,1.603979837501942,Cholamandalam Financial Holdings Ltd.,CHOLAHLDNG,504973.0,CHOLAHLDNG,INE149A01033,Holding Companies,1970.0,1970.0,36992.17,17.84,Export NA,15.15,14.13,84.75,29.46,29.52,0.73,Export NA,2.68,2.61,3.26,90.56,3.45,3.43,110.4,24.34,17.3,11.36,12.16,1.0,3.35,3.51,6.0,Diversified,Holding Companies,2024-12-31,2025-05-09,142,104973.0,204.972375690608,11.9402445244377,0.192529842125529,187.021461716937,196.792602539063,196.792602539063,188.297563805104,0.4283948785067048,4.737340818319391,0.6049928952183667
18,23,132839,Dish TV India Ltd.,156.391437732426,70.4348570125167,52.1525141874133,13100.8495,C,278.978808932356,-0.010990691227023557,1.7963537358826855,Dish TV India Ltd.,DISHTV,532839.0,DISHTV,INE836F01026,Broadcasting & Cable TV,5.4,5.4,994.28,-0.48,Export NA,,,,29.76,17.72,0.02,Export NA,4.22,0.1,-0.36,,8.37,1.64,-11.27,-22.25,0.0,19.99,11.03,-72.58,12.88,10.24,5.0,Media,Broadcasting & Cable TV,2024-12-31,2025-02-14,174,132839.0,0.0,1.94631049513305,0.0,4.49116869279676,60.2541102310541,1844.53651362984,4.57655610284357,-0.3499301173186922,0.8208554246596689,0.3997688631744206
19,24,222255,Eris Lifesciences Ltd.,222.011874309919,157.793991443605,99.1683635407638,10927.125,C,478.97422929428785,0.24326119975318264,1.3454561239575298,Eris Lifesciences Ltd.,ERIS,540596.0,ERIS,INE406M01024,Pharmaceuticals,1476.9,1476.9,20109.85,61.06,Export NA,35.4,30.26,99.48,40.48,40.18,-4.13,Export NA,5.74,5.72,7.26,69.86,8.22,8.34,24.19,-14.77,15.15,16.9,17.11,5.56,11.67,11.81,4.0,Pharmaceuticals & Biotechnology,Pharmaceuticals,2024-12-31,2025-02-04,197,222255.0,37.2108050401045,12.5862581334034,0.0,14.8492941765788,32.8175454806963,35.0360243822996,14.3664352268798,-0.208632542072673,0.03386193087936196,0.39757088352408443
23,29,208238,Godrej Properties Ltd.,73.5025537842439,36.15475781286,0.684250161102118,15714.2832,C,110.34156175820601,-0.22537729521090843,2.338460619369863,Godrej Properties Ltd.,GODREJPROP,533150.0,GODREJPROP,INE484J01027,Realty,2152.4,2152.4,64827.04,43.53,Export NA,102.97,105.57,25.26,44.21,46.53,0.35,Export NA,3.89,4.18,5.97,58.1,5.6,6.28,49.44,123.55,7.25,9.66,10.57,2.02,4.59,4.99,2.0,Realty,Realty,2024-12-31,2025-02-04,250,208238.0,149.602242281852,10.8882736639344,0.0,34.3859290413027,51.9246660333831,54.0564059674503,28.2437959667853,0.21814235687290115,0.5819327151288511,0.4124732539476028
26,32,132702,Gujarat State Petronet Ltd.,7.07612503842812,67.1912798846555,24.68682495554,10608.529184,C,98.95422987862362,-0.23985388001651786,1.2793695096677493,Gujarat State Petronet Ltd.,GSPL,532702.0,GSPL,INE246F01010,Utilities:Non-Electrical,320.5,320.5,18082.98,13.24,Export NA,10.99,10.35,92.48,25.86,15.08,-1.08,Export NA,2.11,2.93,1.62,23.36,4.97,5.78,24.21,-12.31,15.33,19.18,16.26,8.7,7.09,9.62,7.0,Utilities,Utilities:Non-Electrical,2024-12-31,2025-02-07,273,132702.0,15.8708066570506,2.0955739872673,0.930108955620516,9.98824701281677,10.8918504153319,12.7141108527751,7.96586890356651,-0.2896651890156702,-0.5950571601241041,0.023489339009661714
32,39,224623,Indian Energy Exchange Ltd.,995.903556698049,135.909996398076,79.0452340826425,4754.724,S,1210.8587871787674,1.173697669171265,0.06510947895056493,Indian Energy Exchange Ltd.,IEX,540750.0,IEX,INE022Q01020,Capital Markets,191.3,191.3,17058.08,41.73,Export NA,42.93,53.6,51.84,21.62,26.03,2.16,Export NA,4.95,1.98,16.33,51.11,4.05,12.92,4.58,19.36,36.08,17.25,23.88,19.77,2.86,8.7,6.0,Banking and Finance,Capital Markets,2024-12-31,2025-04-24,325,224623.0,36.1069121890889,16.7698746894924,1.39549635267999,20.1362572033604,22.0449796693605,23.1761102817527,20.6325244740679,-0.21282426496100645,-0.2751395524324615,0.6684441155535252
