Stock,2009-04-01,2012-04-02,2015-04-01,2018-04-02,2021-04-01,2024-04-01
20MICRONS,7.6,41.9,37.35,49.75,35.4,144.4
21STCENMGM,,,,35.4,13.7,42.4
360ONE,,,,,327.25,696.8
3IINFOLTD,,,,,,42.9
3MINDIA,870.45,3761.25,7879.6,19973.9,29602.95,30533.2
3PLAND,7.8,,,13.35,8.9,28.3
5PAISA,,,,337.6,260.6,528.45
63MOONS,642.4,701.45,190.45,101.35,72.0,400.65
A2ZINFRA,,116.75,16.0,27.95,3.8,13.75
AAATECH,,,,,,83.35
AADHARHFC,,,,,,
AAKASH,,,,,13.1,9.7
AAREYDRUGS,,,,,,45.8
AARON,,,,,57.8,263.35
AARTECH,,,,,,53.65
AARTIDRUGS,4.8,13.05,162.05,129.35,718.65,457.4
AARTIIND,7.3,15.2,85.45,290.05,681.9,686.3
AARTIPHARM,,,,,,448.75
AARTISURF,,,,,977.7,579.5
AARVEEDEN,14.55,36.9,42.3,45.45,17.85,24.3
AARVI,,,,76.0,50.75,123.4
AATMAJ_SME,,,,,,37.2
AAVAS,,,,,2418.0,1418.55
ABAN,395.65,437.35,429.1,161.5,30.9,52.2
ABB,425.8,845.25,1277.45,1292.75,1397.5,6504.65
ABBOTINDIA,,1520.95,3981.25,5490.8,14980.05,27521.3
ABCAPITAL,,,,151.9,121.55,181.85
ABCOTS_SME,,,,,,232.2
ABDL,,,,,,
ABFRL,,,114.7,147.65,198.95,211.65
ABGSEC,,,,,,
ABHAPOWER_SME,,,,,,
ABINFRA,,,,,,69.3
ABMINTLLTD,,,,,,63.65
ABREL,220.1,376.45,675.35,1181.5,458.9,1711.25
ABSLAMC,,,,,,463.15
ABSLBANETF,,,,,336.46,47.86
ABSLLIQUID,,,,,,999.99
ABSLNN50ET,,,,,347.4,63.61
ABSLPSE,,,,,,
ABSMARINE_SME,,,,,,
ACC,586.85,1342.0,1585.9,1536.95,1913.35,2544.55
ACCELYA,24.25,138.55,950.5,1358.4,874.8,1764.3
ACCENTMIC_SME,,,,,,261.0
ACCORD_SME,,,,,17.1,29.5
ACCURACY,,,,,5.25,9.7
ACE,12.1,31.9,41.15,173.1,161.05,1606.4
ACEINTEG,,,,,,32.3
ACI,,,,,,676.25
ACL,,,,,,81.6
ACLGATI,41.5,32.25,224.8,93.4,106.05,100.05
ACMESOLAR,,,,,,
ADANIENSOL,,,,193.6,999.2,1112.0
ADANIENT,139.9,308.0,612.4,160.9,1107.2,3252.1
ADANIGREEN,,,,,1160.05,1888.3
ADANIPORTS,68.15,129.5,310.95,369.7,736.25,1375.9
ADANIPOWER,,68.6,47.75,24.45,89.3,560.45
ADFFOODS,,10.05,11.95,44.9,185.2,191.6
ADL,,,,,28.75,84.7
ADORWELD,82.8,131.4,219.2,404.9,312.7,1401.05
ADROITINFO,,,,30.8,9.1,15.6
ADSL,90.65,23.8,19.65,20.75,45.8,144.2
ADVANIHOTR,,15.0,21.5,28.0,29.3,75.45
ADVENZYMES,,,,219.8,353.1,359.75
AEGISLOG,3.55,15.0,65.85,256.7,301.25,435.45
AEROFLEX,,,,,,130.8
AERON_SME,,,,,,
AESTHETIK_SME,,,,,,
AETHER,,,,,,798.45
AFCONS,,,,,,
AFFLE,,,,,1120.45,1078.9
AFFORDABLE,,,,,,
AFIL,,,,,,
AGARIND,,,97.45,341.0,158.75,840.9
AGARWALEYE,,,,,,
AGARWALFT_SME,,,,,,54.35
AGARWALTUF_SME,,,,,,
AGI,,147.1,444.75,379.95,159.2,772.95
AGIIL,,,,,,
AGNI_SME,,,,,,61.55
AGRITECH,,,5.75,122.35,31.85,216.65
AGROPHOS,,,,34.15,12.25,40.65
AGSTRA,,,,,,70.75
AGUL_SME,,,,,,57.05
AHIMSA_SME,,,,,,
AHL,,,,,,277.0
AHLADA,,,,,96.05,115.9
AHLEAST,,200.55,128.15,178.65,106.65,150.15
AHLUCONT,,68.45,251.3,368.65,302.25,1035.45
AIAENG,125.6,362.1,1214.1,1441.9,2053.35,3988.05
AIIL,,,,,,
AILIMITED_SME,,,,,,37.65
AIMTRON_SME,,,,,,
AIRAN,,,,236.5,15.8,24.35
AIROLAM,,,,45.75,,165.2
AISL_SME,,,,103.0,35.0,
AJANTPHARM,4.6,43.75,815.55,934.6,1165.65,2238.6
AJAXENGG,,,,,,
AJMERA,,121.2,118.45,249.0,120.1,743.7
AJOONI,,,,6.2,6.3,6.15
AKANKSHA_SME,,,,,,81.3
AKASH,,,,,209.85,32.85
AKG,,,,,63.2,19.6
AKI,,,,,,21.1
AKIKO_SME,,,,,,
AKSHAR,,,,,,2.35
AKSHARCHEM,,,,610.25,248.65,261.0
AKSHOPTFBR,10.4,15.3,14.7,32.9,5.85,8.45
AKUMS,,,,,,
AKZOINDIA,,807.2,1400.7,1807.15,2371.05,2417.1
ALANKIT,,,,44.6,16.15,18.3
ALBERTDAVD,,,,376.65,389.5,1124.6
ALEMBICLTD,15.55,8.15,36.45,54.65,105.3,89.4
ALICON,,59.65,281.05,586.65,430.8,865.2
ALIVUS,,,,,,785.05
ALKALI,232.7,30.6,33.95,68.0,53.05,108.5
ALKEM,,,,1919.45,2775.45,5009.05
ALKYLAMINE,11.0,17.0,131.5,246.0,2303.45,1902.05
ALLCARGO,98.75,16.5,39.9,37.95,31.7,73.45
ALLDIGI,28.2,12.25,21.6,326.9,326.3,733.05
ALLETEC_SME,,,,,,255.35
ALMONDZ,2.6,2.1,1.8,3.9,4.9,18.2
ALOKINDS,,,,,20.85,27.1
ALPA,7.7,9.15,11.8,40.65,36.9,90.45
ALPEXSOLAR_SME,,,,,,397.9
ALPHA,,,,,,46.37
ALPHAETF,,,,,,23.65
ALPHAGEO,94.1,60.05,419.75,770.25,179.35,335.6
ALPL30IETF,,,,,143.35,270.76
ALPSINDUS,7.2,2.2,1.85,3.25,1.7,1.9
ALUWIND_SME,,,,,,
AMBANIORGO_SME,,,,,,
AMBER,,,,1081.9,3247.55,3689.15
AMBEY_SME,,,,,,
AMBICAAGAR,,,,,,26.7
AMBIKCO,48.6,149.15,802.6,1303.1,911.1,1501.7
AMBUJACEM,71.75,172.1,260.25,240.2,311.0,621.5
AMDIND,19.75,14.95,22.3,28.25,17.5,60.7
AMEYA_SME,,,,,,53.3
AMIABLE_SME,,,,,,78.0
AMIORG,,,,,,1113.95
AMJLAND,8.75,16.5,25.0,23.25,22.4,37.75
AMJUMBO_SME,,,,,,
AMNPLST,,,,,,170.05
AMRUTANJAN,,76.9,259.15,277.9,575.7,622.5
ANANDRATHI,,,,,,1810.25
ANANTRAJ,47.4,58.85,40.05,48.4,55.95,324.05
ANDHRAPAP,8.0,36.2,68.5,60.1,44.9,99.9
ANDHRSUGAR,12.45,27.2,19.25,89.35,60.8,99.45
ANGELONE,,,,,294.55,3025.5
ANIKINDS,19.15,28.0,24.05,32.15,15.0,44.55
ANKITMETAL,,,3.15,,1.05,3.7
ANLON_SME,,,,,,400.0
