Stock,2009-04-01,2012-04-02,2015-04-01,2018-04-02,2021-04-01,2024-04-01
20microns.csv,7.6,41.9,37.35,49.75,35.4,144.4
21stcenmgm.csv,,,,35.4,13.7,42.4
360one.csv,,,,,327.25,696.8
3iinfoltd.csv,,,,,,42.9
3mindia.csv,870.45,3761.25,7879.6,19973.9,29602.95,30533.2
3pland.csv,7.8,,,13.35,8.9,28.3
5paisa.csv,,,,337.6,260.6,528.45
63moons.csv,642.4,701.45,190.45,101.35,72.0,400.65
a2zinfra.csv,,116.75,16.0,27.95,3.8,13.75
aaatech.csv,,,,,,83.35
aadharhfc.csv,,,,,,
aakash.csv,,,,,13.1,9.7
aareydrugs.csv,,,,,,45.8
aaron.csv,,,,,57.8,263.35
aartech.csv,,,,,,53.65
aartidrugs.csv,4.8,13.05,162.05,129.35,718.65,457.4
aartiind.csv,7.3,15.2,85.45,290.05,681.9,686.3
aartipharm.csv,,,,,,448.75
aartisurf.csv,,,,,977.7,579.5
aarveeden.csv,14.55,36.9,42.3,45.45,17.85,24.3
aarvi.csv,,,,76.0,50.75,123.4
aatmaj_sme.csv,,,,,,37.2
aavas.csv,,,,,2418.0,1418.55
aban.csv,395.65,437.35,429.1,161.5,30.9,52.2
abb.csv,425.8,845.25,1277.45,1292.75,1397.5,6504.65
abbotindia.csv,,1520.95,3981.25,5490.8,14980.05,27521.3
abcapital.csv,,,,151.9,121.55,181.85
abcots_sme.csv,,,,,,232.2
abdl.csv,,,,,,
abfrl.csv,,,114.7,147.65,198.95,211.65
abgsec.csv,,,,,,
abhapower_sme.csv,,,,,,
abinfra.csv,,,,,,69.3
abmintlltd.csv,,,,,,63.65
abrel.csv,220.1,376.45,675.35,1181.5,458.9,1711.25
abslamc.csv,,,,,,463.15
abslbanetf.csv,,,,,336.46,47.86
abslliquid.csv,,,,,,999.99
abslnn50et.csv,,,,,347.4,63.61
abslpse.csv,,,,,,
absmarine_sme.csv,,,,,,
acc.csv,586.85,1342.0,1585.9,1536.95,1913.35,2544.55
accelya.csv,24.25,138.55,950.5,1358.4,874.8,1764.3
accentmic_sme.csv,,,,,,261.0
accord_sme.csv,,,,,17.1,29.5
accuracy.csv,,,,,5.25,9.7
ace.csv,12.1,31.9,41.15,173.1,161.05,1606.4
aceinteg.csv,,,,,,32.3
aci.csv,,,,,,676.25
acl.csv,,,,,,81.6
aclgati.csv,41.5,32.25,224.8,93.4,106.05,100.05
acmesolar.csv,,,,,,
adaniensol.csv,,,,193.6,999.2,1112.0
adanient.csv,139.9,308.0,612.4,160.9,1107.2,3252.1
adanigreen.csv,,,,,1160.05,1888.3
adaniports.csv,68.15,129.5,310.95,369.7,736.25,1375.9
adanipower.csv,,68.6,47.75,24.45,89.3,560.45
adffoods.csv,,10.05,11.95,44.9,185.2,191.6
adl.csv,,,,,28.75,84.7
adorweld.csv,82.8,131.4,219.2,404.9,312.7,1401.05
adroitinfo.csv,,,,30.8,9.1,15.6
adsl.csv,90.65,23.8,19.65,20.75,45.8,144.2
advanihotr.csv,,15.0,21.5,28.0,29.3,75.45
advenzymes.csv,,,,219.8,353.1,359.75
aegislog.csv,3.55,15.0,65.85,256.7,301.25,435.45
aeroflex.csv,,,,,,130.8
aeron_sme.csv,,,,,,
aesthetik_sme.csv,,,,,,
aether.csv,,,,,,798.45
afcons.csv,,,,,,
affle.csv,,,,,1120.45,1078.9
affordable.csv,,,,,,
afil.csv,,,,,,
agarind.csv,,,97.45,341.0,158.75,840.9
agarwaleye.csv,,,,,,
agarwalft_sme.csv,,,,,,54.35
agarwaltuf_sme.csv,,,,,,
agi.csv,,147.1,444.75,379.95,159.2,772.95
agiil.csv,,,,,,
agni_sme.csv,,,,,,61.55
agritech.csv,,,5.75,122.35,31.85,216.65
agrophos.csv,,,,34.15,12.25,40.65
agstra.csv,,,,,,70.75
agul_sme.csv,,,,,,57.05
ahimsa_sme.csv,,,,,,
ahl.csv,,,,,,277.0
ahlada.csv,,,,,96.05,115.9
ahleast.csv,,200.55,128.15,178.65,106.65,150.15
ahlucont.csv,,68.45,251.3,368.65,302.25,1035.45
aiaeng.csv,125.6,362.1,1214.1,1441.9,2053.35,3988.05
aiil.csv,,,,,,
ailimited_sme.csv,,,,,,37.65
aimtron_sme.csv,,,,,,
airan.csv,,,,236.5,15.8,24.35
airolam.csv,,,,45.75,,165.2
aisl_sme.csv,,,,103.0,35.0,
ajantpharm.csv,4.6,43.75,815.55,934.6,1165.65,2238.6
ajaxengg.csv,,,,,,
ajmera.csv,,121.2,118.45,249.0,120.1,743.7
ajooni.csv,,,,6.2,6.3,6.15
akanksha_sme.csv,,,,,,81.3
akash.csv,,,,,209.85,32.85
akg.csv,,,,,63.2,19.6
aki.csv,,,,,,21.1
akiko_sme.csv,,,,,,
akshar.csv,,,,,,2.35
aksharchem.csv,,,,610.25,248.65,261.0
akshoptfbr.csv,10.4,15.3,14.7,32.9,5.85,8.45
akums.csv,,,,,,
akzoindia.csv,,807.2,1400.7,1807.15,2371.05,2417.1
alankit.csv,,,,44.6,16.15,18.3
albertdavd.csv,,,,376.65,389.5,1124.6
alembicltd.csv,15.55,8.15,36.45,54.65,105.3,89.4
alicon.csv,,59.65,281.05,586.65,430.8,865.2
alivus.csv,,,,,,785.05
alkali.csv,232.7,30.6,33.95,68.0,53.05,108.5
alkem.csv,,,,1919.45,2775.45,5009.05
alkylamine.csv,11.0,17.0,131.5,246.0,2303.45,1902.05
allcargo.csv,98.75,16.5,39.9,37.95,31.7,73.45
alldigi.csv,28.2,12.25,21.6,326.9,326.3,733.05
alletec_sme.csv,,,,,,255.35
almondz.csv,2.6,2.1,1.8,3.9,4.9,18.2
alokinds.csv,,,,,20.85,27.1
alpa.csv,7.7,9.15,11.8,40.65,36.9,90.45
alpexsolar_sme.csv,,,,,,397.9
alpha.csv,,,,,,46.37
alphaetf.csv,,,,,,23.65
alphageo.csv,94.1,60.05,419.75,770.25,179.35,335.6
alpl30ietf.csv,,,,,143.35,270.76
alpsindus.csv,7.2,2.2,1.85,3.25,1.7,1.9
aluwind_sme.csv,,,,,,
ambaniorgo_sme.csv,,,,,,
amber.csv,,,,1081.9,3247.55,3689.15
ambey_sme.csv,,,,,,
ambicaagar.csv,,,,,,26.7
ambikco.csv,48.6,149.15,802.6,1303.1,911.1,1501.7
ambujacem.csv,71.75,172.1,260.25,240.2,311.0,621.5
amdind.csv,19.75,14.95,22.3,28.25,17.5,60.7
ameya_sme.csv,,,,,,53.3
amiable_sme.csv,,,,,,78.0
amiorg.csv,,,,,,1113.95
amjland.csv,8.75,16.5,25.0,23.25,22.4,37.75
amjumbo_sme.csv,,,,,,
amnplst.csv,,,,,,170.05
amrutanjan.csv,,76.9,259.15,277.9,575.7,622.5
anandrathi.csv,,,,,,1810.25
anantraj.csv,47.4,58.85,40.05,48.4,55.95,324.05
andhrapap.csv,8.0,36.2,68.5,60.1,44.9,99.9
andhrsugar.csv,12.45,27.2,19.25,89.35,60.8,99.45
angelone.csv,,,,,294.55,3025.5
anikinds.csv,19.15,28.0,24.05,32.15,15.0,44.55
ankitmetal.csv,,,3.15,,1.05,3.7
anlon_sme.csv,,,,,,400.0
anmol.csv,,,,,,45.75
annapurna_sme.csv,,,,,,378.85
ansalapi.csv,,35.65,23.8,20.55,6.15,9.55
antgraphic.csv,0.35,0.25,0.15,0.9,,1.65
anuhphr.csv,,,,,,
anup.csv,,,,,291.8,1580.05
anuras.csv,,,,,516.95,880.0
anya_sme.csv,,,,,,
aonetotal.csv,,,,,,
aparinds.csv,79.25,166.05,373.45,749.2,483.15,6950.1
apcl.csv,,,,187.45,214.85,178.1
apcotexind.csv,,14.6,99.15,205.0,183.8,446.95
apex.csv,,,,665.0,220.2,202.9
apexeco_sme.csv,,,,,,
aplapollo.csv,,18.2,42.9,204.8,663.4,1503.3
aplltd.csv,,49.0,454.7,544.05,987.15,1008.95
apollo.csv,,,,25.3,9.9,100.05
apollohosp.csv,197.75,620.45,1390.0,1098.2,2894.05,6457.25
apollopipe.csv,,,,,339.85,651.45
apollotyre.csv,18.35,79.3,175.2,277.4,236.05,465.3
apolsinhot.csv,,,97.6,661.5,566.0,1778.25
aprameya_sme.csv,,,,,,
aps_sme.csv,,,,,,226.0
aptecht.csv,64.55,57.25,42.65,185.95,159.25,241.95
aptus.csv,,,,,,331.15
arabian_sme.csv,,,,,,87.8
archidply.csv,14.45,10.8,35.35,78.65,30.9,86.15
archies.csv,9.35,24.3,19.25,33.95,10.65,30.65
are&m.csv,19.1,149.3,843.9,810.6,860.5,795.0
arenterp.csv,,,,,10.75,39.9
arham_sme.csv,,,,,,91.95
aries.csv,28.7,77.05,112.7,183.4,82.95,261.1
arihantaca_sme.csv,,,,,,151.0
arihantcap.csv,,,,,,59.25
arihantsup.csv,,,,117.05,35.95,355.55
aristo_sme.csv,,,,,,69.35
arkade.csv,,,,,,
armanfin.csv,,,,320.1,609.55,1950.6
arogranite.csv,,24.45,60.15,56.95,41.85,46.85
arrowgreen.csv,,,,381.95,70.65,400.9
arshiya.csv,,144.0,40.0,78.55,34.25,6.5
arssinfra.csv,,110.3,36.3,45.6,20.4,18.35
artemismed.csv,,,,,21.7,174.55
artnirman.csv,,,,,,52.25
arvee.csv,,,,,58.15,140.35
arvind.csv,14.0,82.9,267.2,396.0,69.1,274.5
arvindfasn.csv,,,,,144.75,452.7
arvindport_sme.csv,,,,,,48.3
arvsmart.csv,,,,189.75,98.85,706.75
asahiindia.csv,40.0,58.1,142.45,344.35,307.05,553.15
asahisong.csv,,87.05,115.85,335.05,323.6,323.05
asal.csv,,47.0,43.95,80.15,34.3,594.55
asalcbr.csv,,,,,441.1,497.75
ascom_sme.csv,,,,,,
ashalog_sme.csv,,,,,,
ashapurmin.csv,25.7,9.1,74.05,71.1,106.5,381.75
ashiana.csv,,34.75,249.5,159.4,128.4,285.0
ashimasyn.csv,2.5,3.95,8.25,26.95,16.1,19.25
ashoka.csv,,45.2,122.5,170.75,100.6,160.05
ashokamet.csv,,,,,,18.85
ashokley.csv,9.2,30.95,74.05,148.1,118.15,174.65
asianene.csv,,,,,,284.35
asianhotnr.csv,,190.85,105.15,297.0,62.8,134.6
asianpaint.csv,78.6,326.35,821.7,1150.15,2551.75,2871.0
asiantiles.csv,16.9,,123.05,478.1,158.5,61.9
askautoltd.csv,,,,,,283.05
aslind_sme.csv,,,,,,
asms.csv,,,,,,18.25
aspinwall.csv,,,,398.8,191.8,263.85
aspire_sme.csv,,,,,,
astec.csv,,29.95,149.2,598.5,1019.65,1110.5
asterdm.csv,,,,167.15,138.55,408.05
astral.csv,1.65,17.25,201.9,415.1,1264.0,2029.7
astramicro.csv,32.6,36.75,150.05,75.75,132.8,627.85
astrazen.csv,571.3,2146.65,920.35,939.35,3429.85,5200.6
astron.csv,,,,109.2,43.1,20.2
atalreal.csv,,,,,,14.1
atam.csv,,,,,,182.95
atfl.csv,93.2,451.65,629.25,640.15,833.25,696.2
atgl.csv,,,,,1060.65,969.55
atl.csv,,,,,,57.15
atlantaa.csv,8.35,57.95,68.6,79.55,6.9,23.7
atlascycle.csv,,,,,,
atmastco_sme.csv,,,,,,152.85
atul.csv,43.5,195.0,1153.05,2629.4,7415.35,5797.2
atulauto.csv,,,566.25,438.8,180.25,499.75
aubank.csv,,,,321.2,633.95,589.35
aurdis_sme.csv,,,,,,205.2
aurionpro.csv,30.0,57.3,108.8,108.3,66.6,1151.05
auroimpex_sme.csv,,,,,,72.65
auropharma.csv,18.45,57.0,623.7,592.55,881.3,1113.35
aurum.csv,,,,490.75,69.1,136.55
ausl_sme.csv,,,,,,
ausoment.csv,,,21.7,71.8,48.95,94.2
autoaxles.csv,84.5,501.1,810.2,1487.3,1096.0,1800.45
autobees.csv,,,,,,217.5
autoietf.csv,,,,,,21.71
autoind.csv,60.3,172.95,63.6,64.15,42.65,116.85
avadhsugar.csv,,,,236.2,188.8,555.75
avalon.csv,,,,,,506.35
avantel.csv,,,,,,
avantifeed.csv,,6.65,,795.35,418.5,501.9
avg.csv,,,,,,575.45
aviansh_sme.csv,,,,,,
avl.csv,,,,,,
avonmore.csv,,,,,,9.3
avpinfra_sme.csv,,,,,,77.65
avroind.csv,,,,,,112.45
avsl_sme.csv,,,,,,149.75
avtnpl.csv,2.7,18.55,27.9,38.1,46.35,86.3
awfis.csv,,,,,,
awhcl.csv,,,,,252.8,490.95
awl.csv,,,,,,340.2
axisbank.csv,83.65,230.95,569.65,499.05,713.0,1053.1
axisbnketf.csv,,,,,338.02,481.62
axisbpsetf.csv,,,,,,11.62
axiscades.csv,,84.9,339.65,144.55,42.7,622.85
axiscetf.csv,,,,,,102.65
axisgold.csv,,2753.2,2483.15,2703.0,39.21,58.34
axishcetf.csv,,,,,,123.47
axisilver.csv,,,,,,76.44
axisnifty.csv,,,,1025.03,154.61,241.99
axistecetf.csv,,,,,278.98,370.05
axita.csv,,,,,,16.3
axsensex.csv,,,,,,74.83
aymsyntex.csv,,,,61.7,48.75,94.6
azad.csv,,,,,,1348.8
babafp_sme.csv,,,,,,56.35
bafnaph.csv,,,,,130.6,80.25
bagfilms.csv,12.1,4.55,3.0,4.65,2.05,8.55
baheti_sme.csv,,,,,,193.5
baidfin.csv,,,,,,20.85
bajaj-auto.csv,317.2,1655.2,2019.8,2808.95,3743.05,9042.15
bajajcon.csv,,118.05,466.95,471.4,268.6,219.6
bajajelec.csv,30.25,197.4,232.4,574.7,992.5,927.85
bajajfinsv.csv,17.9,63.6,142.75,526.75,978.95,1646.0
bajajhcare.csv,,,,,,303.9
bajajhfl.csv,,,,,,
bajajhind.csv,50.5,31.15,14.6,9.15,6.4,31.9
bajajhldng.csv,297.05,829.2,1299.9,2622.85,3338.7,8407.55
bajajindef.csv,,,,,,
bajel.csv,,,,,,217.9
bajfinance.csv,,83.45,414.0,1818.6,5272.15,7250.95
balajee.csv,,,,,,
balajiphos_sme.csv,,,,,,
balajitele.csv,29.0,42.5,67.5,131.95,59.0,77.5
balamines.csv,12.5,38.25,83.45,590.15,1787.15,2098.45
balaxi.csv,,,,,110.15,108.6
balco_sme.csv,,,,,,
balkrishna.csv,,,,75.95,19.3,23.65
balkrisind.csv,14.9,137.65,327.5,1080.9,1681.8,2284.75
balmlawrie.csv,23.4,53.15,96.15,147.15,133.7,249.35
balpharma.csv,,19.5,68.85,81.2,55.25,96.8
balramchin.csv,56.1,57.35,50.0,78.45,214.1,377.4
baluforge.csv,,,,,,
banarbeads.csv,,,39.25,59.0,50.3,96.3
