STOCKNAME,Z_MOM
63MOONS,-1.0369313600671153
ABAN,-1.0802120701821945
ADANIENT,-0.18727438056444196
ALLCARGO,2.2136415229266295
ALOKINDS,
ANANTRAJ,-0.4765664771188074
ARSHIYA,
ASHOKLEY,-0.20630484384588865
BAJAJHIND,0.0258933960982154
BGRENERGY,0.36758284649906614
CENTRUM,
CIEINDIA,0.2710530766889792
DISHTV,0.9120830460302494
EDELWEISS,0.6081548668079294
EDUCOMP,0.663456990185275
EKC,-0.3098286656214558
EMAMILTD,1.097765569738256
FSL,-0.15608877935542215
GLENMARK,-0.4792733689495203
GMRAIRPORT,1.534200439996377
GTLINFRA,1.027773653410491
GVKPIL,
GVT&D,
HAVELLS,-1.2171009324607287
HCLTECH,-0.6639821481198767
HINDALCO,-0.2997918618953622
HINDNATGLS,
HLVLTD,0.5712312639620463
HUBTOWN,
IDEA,0.2175664907944298
IIFL,0.516789323091323
INDIANB,0.5737395474802711
IOB,-0.5704129765209413
JINDALSAW,-1.2124811248440277
JINDRILL,-0.4314086430226264
JMFINANCIL,-0.3837747712754481
JSWSTEEL,-0.5566393630110357
JUBLPHARMA,-2.3091083098522294
KPIL,-1.074110568254445
LUPIN,2.307201773102128
MAHLIFE,-0.14408109431503896
MOTHERSON,0.9381638213569204
NAUKRI,0.3433878348987122
NCC,
PARSVNATH,-0.4397715256312176
PATELENG,-0.8110409558432207
PEL,
PENINLAND,0.02813493206472939
PRAJIND,-0.19747367856605375
PTC,1.0084369566161848
RAIN,
RAMCOCEM,-0.9967269056694905
RELIGARE,1.3505540739618402
RELINFRA,
RENUKA,1.8483703406523566
ROLTA,-0.3577905237922533
SEPC,
SIMPLEXINF,-0.931996906129981
SUZLON,-0.5362008778272342
TATAMOTORS,-1.3229283543270294
TATAPOWER,0.5494304848046998
TATASTEEL,-0.77208321446675
TIMETECHNO,-0.28797567994473267
TRIVENI,0.4758815708802365
UNITDSPR,0.141734659853818
UNITECH,0.4960030841875672
WELCORP,
WOCKPHARMA,-2.1169939870829357
