Sr.No.,Accord Code,Company Name,FR_ROA (%)4,FR_ROE (%)4,FR_ROCE (%)4,FR_Asset Turnover(x)4,FR_Year End4,FR_Adjusted PE (x)4,FR_Price / Book Value(x)4,FR_Dividend Yield(%)4,FR_EV/EBITDA(x)4,FR_Year End4.1,CONS_FR_1,CONS_FR_2,CONS_FR_3,CONS_FR_4,CONS_FR_5,CONS_FR_6,Stock Name,NSE Code,BSE Code,Stock Code,ISIN,Industry Name,Current Price,Current Price.1,Market Capitalization,PE TTM Price to Earnings,Forecaster Estimates 1Y forward PE,PE 3Yr Average,PE 5Yr Average,%Days traded below current PE Price to Earnings,Sector PE TTM,Industry PE TTM,PEG TTM PE to Growth,Forecaster Estimates 1Y forward PEG,Sector PEG TTM,Industry PEG TTM,Price to Book Value,%Days traded below current Price to Book Value,Sector Price to Book TTM,Industry Price to Book TTM,Basic EPS TTM,EPS TTM Growth %,ROE Annual %,Sector Return on Equity ROE,Industry Return on Equity ROE,RoA Annual %,Sector Return on Assets,Industry Return on Assets,Piotroski Score,sector_name,Industry Name.1,Latest financial result,Result Announced Date,STOCKNAME,PRICE0320
1,207635.0,20 Microns Ltd.,5.43519485439174,13.610331559051,18.9078001464474,1.19328112336488,202003.0,3.76027858250666,0.482880813532464,2.33463035019455,2.93604810200027,202003.0,C,C,C,C,C,C,20 Microns Ltd.,20MICRONS,533022.0,20MICRONS,INE144J01027,Coal & Mining,227.25,227.25,801.89,13.19,Export NA,12.71,10.99,86.79,18.22,8.32,0.75,Export NA,1.55,3.38,2.09,93.44,5.66,4.19,17.23,17.54,15.88,23.96,38.63,9.5,10.88,17.6,7.0,Metals & Mining,Coal & Mining,2024-12-31,2025-01-22,20MICRONS,25.55
3,228974.0,360 One Wam Ltd.,1.76584148692554,6.85786090880532,7.56135051298986,0.12903711717801,202003.0,42.7633858949922,2.90042019335418,2.02603454388897,19.6155452081464,202003.0,C,C,C,C,C,C,360 One Wam Ltd.,360ONE,542772.0,360ONE,INE466L01038,Capital Markets,1057.0,1057.0,41613.87,41.27,Export NA,40.64,37.19,80.29,21.62,26.03,1.02,Export NA,4.95,1.98,10.62,88.72,4.05,12.92,25.61,40.56,23.31,17.25,23.88,5.31,2.86,8.7,3.0,Banking and Finance,Capital Markets,2024-12-31,2025-04-23,360ONE,251.45
6,123395.0,3M India Ltd.,14.5232557156695,20.2386123050717,27.2855315806701,1.34632492580181,202003.0,66.1386040292487,12.1698305073807,0.0,41.422301699248,202003.0,C,C,C,C,C,C,3M India Ltd.,3MINDIA,523395.0,3MINDIA,INE470A01017,Industrial Machinery,29940.0,29940.0,33727.71,60.74,Export NA,67.92,99.4,6.07,52.89,51.56,5.31,Export NA,4.08,2.13,20.25,99.81,13.34,13.18,492.91,11.43,22.62,21.36,20.04,15.77,11.85,12.4,8.0,General Industrials,Industrial Machinery,2024-12-31,2025-02-07,3MINDIA,18827.95
7,116092.0,3P Land Holdings Ltd.,13.0544063741263,13.2689796456254,14.0739605266202,0.0543916410310809,202003.0,1.46700458134321,0.184927298791726,0.0,1.01905762013107,202003.0,C,C,C,C,C,C,3P Land Holdings Ltd.,3PLAND,516092.0,3PLAND,INE105C01023,Realty,42.91,42.91,77.24,37.24,Export NA,36.28,33.58,82.72,44.21,46.53,1.81,Export NA,3.89,4.18,0.48,15.91,5.6,6.28,1.15,20.59,1.83,9.66,10.57,1.73,4.59,4.99,5.0,Realty,Realty,2024-12-31,2025-01-18,3PLAND,3.55
9,228972.0,5Paisa Capital Ltd.,-1.83379704678784,-8.82165640676148,2.29176864666308,0.251334240632446,202003.0,0.0,2.09341972126413,0.0,24.4080317694088,202003.0,C,C,C,C,C,C,5Paisa Capital Ltd.,5PAISA,540776.0,5PAISA,INE618L01018,Capital Markets,388.5,388.5,1213.53,18.98,Export NA,29.92,37.33,4.36,21.62,26.03,13.87,Export NA,4.95,1.98,2.11,3.0,4.05,12.92,20.47,1.37,10.08,17.25,23.88,2.65,2.86,8.7,4.0,Banking and Finance,Capital Markets,2024-12-31,2025-05-01,5PAISA,113.15
10,126881.0,63 Moons Technologies Ltd.,-1.36413261100718,-1.48246023045946,-1.24076895737549,0.0617542625315587,202003.0,0.0,0.0690087470790541,4.26439232409382,45.4906852782749,202003.0,C,C,C,C,C,C,63 Moons Technologies Ltd.,63MOONS,526881.0,63MOONS,INE111B01023,IT Consulting & Software,719.3,719.3,3314.43,-91.7,Export NA,58.66,58.66,,27.64,26.51,0.77,Export NA,5.09,5.29,1.0,96.79,8.69,8.78,-7.84,-119.27,6.64,31.36,33.12,6.1,19.49,20.52,7.0,Software & Services,IT Consulting & Software,2024-12-31,2025-02-12,63MOONS,46.05
15,207654.0,A2Z Infra Engineering Ltd.,-13.6761576432212,-51.3221017565688,-17.615529693398,0.344108450143591,202003.0,0.0,0.138463935945681,0.0,-663.101564585987,202003.0,C,C,C,C,C,C,A2Z Infra Engineering Ltd.,A2ZINFRA,533292.0,A2ZINFRA,INE619I01012,Construction & Engineering,14.86,14.86,261.71,69.81,Export NA,,,73.99,40.59,34.35,0.66,Export NA,3.35,2.78,6.93,85.45,4.65,5.61,0.21,105.51,-20.67,12.67,15.97,-0.83,5.35,5.27,4.0,Cement and Construction ,Construction & Engineering,2024-12-31,2025-02-12,A2ZINFRA,3.15
29,124348.0,Aarti Drugs Ltd.,9.32710890626648,23.6465133189061,21.3889558358187,1.19135522186271,202003.0,8.33459665034241,1.80618134274386,0.395413206801107,5.8060927614656,202003.0,C,C,C,C,C,C,Aarti Drugs Ltd.,AARTIDRUGS,524348.0,AARTIDRUGS,INE767A01016,Pharmaceuticals,364.7,364.7,3328.62,21.81,Export NA,26.13,22.88,54.3,40.48,40.18,-1.42,Export NA,5.74,5.72,2.61,11.39,8.22,8.34,16.72,-15.31,13.37,16.9,17.11,7.04,11.67,11.81,6.0,Pharmaceuticals & Biotechnology,Pharmaceuticals,2024-12-31,2025-01-29,AARTIDRUGS,125.6
30,124208.0,Aarti Industries Ltd.,8.97030788060152,19.4982436745538,15.848762409053,0.75808420368748,202003.0,24.7620812044152,4.45712409259098,0.459408019951434,15.3372384071712,202003.0,C,C,C,C,C,C,Aarti Industries Ltd.,AARTIIND,524208.0,AARTIIND,INE769A01020,Specialty Chemicals,433.8,433.8,15726.13,42.84,Export NA,40.6,41.11,69.04,51.17,59.04,-2.79,Export NA,13.03,14.6,2.89,11.32,7.59,9.19,10.13,-15.35,7.87,14.53,14.4,4.33,9.9,9.72,4.0,Chemicals & Petrochemicals,Specialty Chemicals,2024-12-31,2025-02-01,AARTIIND,383.4
34,207660.0,Aarvi Encon Ltd.,6.40787298877997,9.79908329835123,10.8186739168912,1.94655791077273,202003.0,4.366408470326,0.410644068329573,4.71698113207547,3.36400278801155,202003.0,C,C,C,C,C,C,Aarvi Encon Ltd.,AARVI,,AARVI,INE754X01016,Special Consumer Services,112.0,112.0,165.88,16.38,Export NA,15.67,14.3,71.19,64.96,25.15,-1.18,Export NA,5.87,0.3,1.39,37.51,11.22,9.65,6.84,-13.87,9.72,17.25,5.06,6.63,9.68,14.58,5.0,Diversified Consumer Services,Special Consumer Services,2024-12-31,2025-02-08,AARVI,21.2
